prodcodeid	productname
10019141000033111	unifine pentips plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10021741000033116	needlebay fine pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10021841000033114	needlebay fine pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10021941000033118	needlebay fine pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10042541000033117	exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices
10042641000033116	bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pen
10043341000033116	vamju 30mg modified-release tablets
10043441000033110	vamju 60mg modified-release tablets
10044541000033113	insulin degludec 100units/ml / liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices
10044641000033114	xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pen
1017141000033110	orabet tablets 500 mg
1017241000033115	orabet tablets 850 mg
10207841000033118	dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices
10207941000033114	dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices
10208041000033112	trulicity 0.75mg/0.5ml solution for injection pre-filled pen
10208141000033111	trulicity 1.5mg/0.5ml solution for injection pre-filled pen
10251341000033112	glidipion 15mg tablets
10252641000033111	insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices
10252741000033119	humalog kwikpen 200units/ml solution for injection 3ml pre-filled pen
10259341000033113	novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
10259441000033119	novopen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units
10259541000033118	juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259641000033117	juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259741000033114	juniorstar hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units
10259941000033112	comfort point needles for insulin pens 5 mm/31 gauge
10260741000033113	glucorx finepoint ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10336941000033112	diabiom 15mg tablets
10337041000033113	diabiom 30mg tablets
10337141000033112	diabiom 45mg tablets
10494241000033110	insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices
10494441000033111	toujeo 300units/ml solution for injection 1.5ml pre-filled solostar pen
10598841000033113	glucient sr 750mg tablets
10598941000033117	glucient sr 1000mg tablets
10600641000033118	abasaglar 100units/ml solution for injection 3ml cartridges
10600741000033110	abasaglar kwikpen 100units/ml solution for injection 3ml pre-filled pen
10614141000033116	empagliflozin 5mg / metformin 850mg tablets
10614241000033111	empagliflozin 5mg / metformin 1g tablets
10614341000033118	empagliflozin 12.5mg / metformin 850mg tablets
10614441000033112	empagliflozin 12.5mg / metformin 1g tablets
10614541000033113	synjardy 5mg/850mg tablets
10614641000033114	synjardy 5mg/1000mg tablets
10614741000033117	synjardy 12.5mg/850mg tablets
10614841000033110	synjardy 12.5mg/1000mg tablets
10623141000033112	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge
10623241000033117	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge
10623341000033110	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge
10623441000033116	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge
10623541000033115	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge
10639641000033119	glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge
10673941000033110	insulin human 100units/ml solution for injection 10ml vials
10674041000033112	insulin human 100units/ml solution for injection 3.15ml cartridges
10674141000033111	insuman infusat 100units/ml solution for injection 10ml vials
10674341000033114	insuman infusat 100units/ml solution for injection 3.15ml cartridges
10701641000033116	bilxona 30mg modified-release tablets
10701741000033113	bilxona 60mg modified-release tablets
