medcodeid	term	snomedctconceptid	complications
408811014	Diabetes treatment satisfaction questionnaire	765147009	
449540010	Discharge by diabetic liaison nurse	306499007	
453050019	Education score - diabetes	309593006	
456646018	Referral to diabetes nurse	312856000	
448261010	Seen by diabetic liaison nurse	305738006	
291841000006115	'Infant of a diabetic mother' syndrome	21584002	
317347010	[D]Gangrene of toe in diabetic	195302000	
1222529016	[D]Prediabetes	9414007	
317348017	[D]Widespread diabetic foot gangrene	195303005	
1227774019	[V]Dietary counselling in diabetes mellitus	284350006	
460375010	[V]Family history of diabetes mellitus	160303001	
339351000006110	[V]Family history of diabetes mellitus	160303001	
1227610014	[V]Family history of diabetes mellitus (DM)	160303001	
622051000000118	[V]Personal history of gestational diabetes mellitus	472971004	
461270012	[V]Screening for diabetes mellitus	171183004	
1227832019	[V]Screening for diabetes mellitus (DM)	171183004	
354661000006118	[X] Adverse reaction to insulins and antidiabetic agents	430400006	
354671000006113	[X] Adverse reaction to insulins and antidiabetic agents NOS	430400006	
377001000006117	[X]Diabetes mellitus	73211009	
305158015	[X]Glomerular disorders in diabetes mellitus	309426007	
293756010	[X]Other specified diabetes mellitus	73211009	
308110013	[X]Pre-existing diabetes mellitus, unspecified	385051000000106	
293759015	[X]Unspecified diabetes mellitus with renal complications	127013003	
135166013	Acquired nephrogenic diabetes insipidus	81475007	
297550019	Acute painful diabetic neuropathy	193183000	
283544013	Admit diabetic emergency	183472000	
297755010	Advanced diabetic maculopathy	193350004	
455408014	Advanced diabetic retinal disease	311782002	
468191000006114	Adverse reaction to insulins and antidiabetic agents	430400006	
330806013	Adverse reaction to insulins and antidiabetic agents NOS	430400006	
2279291000000114	Advice about diabetes and driving	700414001	
1716601000006119	Age, BP, clinical feat, duration, diabetes 2 stroke rsk scre	1087971000000105	
264728016	Annual diabetic blood test	170778005	
297552010	Asymptomatic diabetic neuropathy	193185007	
251884012	At risk of diabetes mellitus	161641009	
546071000000117	Attended DAFNE diabetes structured education programme	306441000000109	
2533102013	Attended diabetes structured education programme	413597006	
546001000000113	Attended XPERT diabetes structured education programme	306401000000106	
456686014	Attending diabetes clinic	312888008	
285751016	Attends diabetes monitoring	185753003	
1230890017	Autonomic neuropathy due to diabetes	50620007	
1785332013	Background diabetic retinopathy	390834004	
19931010	Brittle diabetes	11530004	
1786715019	Bronzed diabetes	399144008	
308360012	Cellulitis in diabetic foot	200687002	
297551015	Chronic painful diabetic neuropathy	193184006	
354508018	Clinical diabetic nephropathy	236500003	
498950010	Congenital nephrogenic diabetes insipidus	61165007	
2262381000000117	Conversion to insulin by diabetes specialist nurse	876381000000100	
75638010	Cranial diabetes insipidus	45369008	
494831000000119	Cystic fibrosis related diabetes mellitus	426705001	
546151000000110	DAFNE diabetes structured education programme completed	306471000000103	
264720011	Date diabetic treatment start	170772006	
607851000006113	Date diabetic treatment stopp.	170773001	
1139861000000119	Declined consent for diabetes year of care programme	512581000000104	
