icd	description	complications
E10.0	type 1 diabetes mellitus with coma	
E10.1	type 1 diabetes mellitus with ketoacidosis	
E10.2	type 1 diabetes mellitus with renal complications	
E10.3	type 1 diabetes mellitus with opthalmic complications	
E10.4	type 1 diabetes mellitus with neurological complications	
E10.5	type 1 diabetes mellitus with peripheral circulatory complications	
E10.6	type 1 diabetes mellitus with other specified complications	
E10.7	type 1 diabetes mellitus with multiple complications	
E10.8	type 1 diabetes mellitus with unspecified complications	
E10.9	type 1 diabetes mellitus without complications	
E11.0	type 2 diabetes mellitus with coma	
E11.1	type 2 diabetes mellitus with ketoacidosis	
E11.2	type 2 diabetes mellitus with renal complications	
E11.3	type 2 diabetes mellitus with opthalmic complications	
E11.4	type 2 diabetes mellitus with neurological complications	
E11.5	type 2 diabetes mellitus with peripheral circulatory problems	
E11.6	type 2 diabetes mellitus with other specified complications	
E11.7	type 2 diabetes mellitus with multiple complications	
E11.8	type 2 diabetes mellitus with unspecified complications	
E11.9	type 2 diabetes mellitus without complications	
E13.0	other specified diabetes mellitus with coma	
E13.1	other specified diabetes mellitus with renal complications	
E13.2	other specified diabetes mellitus with opthalmic complications	
E13.3	other specified diabetes mellitus with neurological complications	
E13.4	other specified diabetes mellitus with peripheral circulatory complications	
E13.5	other specified diabetes mellitus with other specified complications	
E13.6	other specified diabetes mellitus with multiple complications	
E13.7	other specified diabetes mellitus with multiple complications	
E13.8	other specified diabetes mellitus with unspecified complications	
E13.9	other specified diabetes mellitus without complications	
E14.0	unspecified diabetes mellitus with coma	
E14.1	unspecified diabetes mellitus with ketoacidosis	
E14.2	unspecified diabetes mellitus with renal complications	
E14.3	unspecified diabetes mellitus with opthalmic complications	
E14.4	unspecified diabetes mellitus with neurological complications	
E14.5	unspecified diabetes mellitus with peripheral complications	
E14.6	unspecified diabetes mellitus with other specified complications	
E14.7	unspecified diabetes mellitus with multiple complications	
E14.8	unspecified diabetes mellitus with unspecified complications	
E14.9	unspecified diabetes mellitus without complications	
E10.2	Type 1 diabetes mellitus with renal complications	1
E10.3	Type 1 diabetes mellitus with ophthalmic complications	1
E10.4	Type 1 diabetes mellitus with neurological complications	1
E10.5	Type 1 diabetes mellitus with peripheral circulatory complications	1
E10.6	Type 1 diabetes mellitus with other specified complications	1
E10.7	Type 1 diabetes mellitus with multiple complications	1
E10.8	Type 1 diabetes mellitus with unspecified complications	1
E11.2	Type 2 diabetes mellitus with renal complications	1
E11.3	Type 2 diabetes mellitus with ophthalmic complications	1
E11.4	Type 2 diabetes mellitus with neurological complications	1
E11.5	Type 2 diabetes mellitus with peripheral circulatory complications	1
E11.6	Type 2 diabetes mellitus with other specified complications	1
E11.7	Type 2 diabetes mellitus with multiple complications	1
E11.8	Type 2 diabetes mellitus with unspecified complications	1
E12.2	Malnutrition-related diabetes mellitus with renal complications	1
E12.4	Malnutrition-related diabetes mellitus with neurological complications	1
E12.5	Malnutrition-related diabetes mellitus with peripheral circulatory complications	1
E12.6	Malnutrition-related diabetes mellitus with other specified complications	1
E12.7	Malnutrition-related diabetes mellitus with multiple complications	1
E12.8	Malnutrition-related diabetes mellitus with unspecified complications	1
E13.2	Other specified diabetes mellitus with renal complications	1
E13.3	Other specified diabetes mellitus with ophthalmic complications	1
E13.4	Other specified diabetes mellitus with neurological complications	1
E13.5	Other specified diabetes mellitus with peripheral circulatory complications	1
E13.6	Other specified diabetes mellitus with other specified complications	1
E13.7	Other specified diabetes mellitus with multiple complications	1
E13.8	Other specified diabetes mellitus with unspecified complications	1
E14.2	Unspecified diabetes mellitus with renal complications	1
E14.3	Unspecified diabetes mellitus with ophthalmic complications	1
E14.4	Unspecified diabetes mellitus with neurological complications	1
E14.5	Unspecified diabetes mellitus with peripheral circulatory complications	1
E14.6	Unspecified diabetes mellitus with other specified complications	1
E14.7	Unspecified diabetes mellitus with multiple complications	1
E14.8	Unspecified diabetes mellitus with unspecified complications	1
G59.0	Diabetic mononeuropathy	1
G63.2	Diabetic polyneuropathy	1
G99.0	Autonomic neuropathy in endocrine and metabolic diseases	1
H28.0	Diabetic cataract	1
H36.0	diabetic retinopathy	1
M14.2	Diabetic arthropathy	1
M14.6	Neuropathic arthropathy	1
N08.3	Glomerular disorders in diabetes mellitus	1
