snomedctconceptid	medcodeid	term	term_main
24165007	461112017	[V]Alcohol abuse counselling and surveillance	alcohol dependence
35637008	460926018	[V]Alcohol rehabilitation	alcohol dependence
371422002	460276013	[V]Personal history of alcoholism	alcohol dependence
371422002	346501000006111	[V]Problems related to lifestyle alcohol use	alcohol dependence
292416003	350971000006112	[X] Adverse reaction to alcohol deterrents	alcohol dependence
25702006	362251000006117	[X]Acute alcoholic drunkenness	alcohol dependence
66590003	362921000006118	[X]Alcohol addiction	alcohol dependence
292416003	362931000006115	[X]Alcohol deterrents caus adverse effects in therapeut use	alcohol dependence
308742005	315091000000117	[X]Alcohol withdrawal-induced seizure	alcohol dependence
281004	362941000006113	[X]Alcoholic dementia NOS	alcohol dependence
7052005	362951000006110	[X]Alcoholic hallucinosis	alcohol dependence
42344001	362961000006112	[X]Alcoholic jealousy	alcohol dependence
42344001	362971000006117	[X]Alcoholic paranoia	alcohol dependence
42344001	362981000006119	[X]Alcoholic psychosis NOS	alcohol dependence
191475009	370961000006119	[X]Chronic alcoholic brain syndrome	alcohol dependence
66590003	370971000006114	[X]Chronic alcoholism	alcohol dependence
8635005	376451000006113	[X]Delirium tremens, alcohol induced	alcohol dependence
25702006	379971000006119	[X]Evid alch invl detrm by levl intox alch invl not oth spec	alcohol dependence
25702006	379981000006116	[X]Evid alcoh invl determ by levl intox very sev alcoh intox	alcohol dependence
25702006	379991000006118	[X]Evid alcoh invol determ by level of intox mod alcoh intox	alcohol dependence
25702006	380001000006112	[X]Evid alcoh invol determ by level of intox sev alcoh intox	alcohol dependence
25702006	380011000006110	[X]Evid alcoh invol determ by levl of intox mild alcoh intox	alcohol dependence
25702006	380021000006119	[X]Evid alcoh invol detrm by pres alcoh in bld levl not spec	alcohol dependence
25702006	380031000006116	[X]Evid of alcohol involv determind by level of intoxication	alcohol dependence
69482004	394681000006119	[X]Korsakov's psychosis, alcohol induced	alcohol dependence
42344001	397201000006116	[X]Men & behav dis due alcoh: resid & late-onset psychot dis	alcohol dependence
8635005	397211000006118	[X]Men & behav dis due alcohl: withdrawl state with delirium	alcohol dependence
29212009	397241000006119	[X]Men & behav dis due to use alcohol: oth men & behav dis	alcohol dependence
91388009	397431000006111	[X]Ment & behav dis due use alcohol: unsp ment & behav dis	alcohol dependence
25702006	397611000006115	[X]Mental & behav dis due to use alcohol: acute intoxication	alcohol dependence
42344001	397621000006111	[X]Mental & behav dis due to use alcohol: psychotic disorder	alcohol dependence
73097000	397791000006118	[X]Mental and behav dis due to use alcohol: amnesic syndrome	alcohol dependence
66590003	397801000006117	[X]Mental and behav dis due to use alcohol: dependence syndr	alcohol dependence
191480000	397811000006119	[X]Mental and behav dis due to use alcohol: withdrawal state	alcohol dependence
15167005	397881000006114	[X]Mental and behav dis due to use of alcohol: harmful use	alcohol dependence
29212009	295765017	[X]Mental and behavioural disorders due to use of alcohol	alcohol dependence
9953008	17390014	Acute alcoholic hepatitis	alcohol dependence
191802004	295127018	Acute alcoholic intoxication in alcoholism	alcohol dependence
191802004	295132017	Acute alcoholic intoxication in alcoholism NOS	alcohol dependence
191806001	295131012	Acute alcoholic intoxication in remission, in alcoholism	alcohol dependence
191802004	295128011	Acute alcoholic intoxication, unspecified, in alcoholism	alcohol dependence
183486001	283559019	Admitted to alcohol detoxification centre	alcohol dependence
292416003	464381000006118	Adverse reaction to alcohol deterrents	alcohol dependence
375941000000101	739501000000112	Advised to contact primary care alcohol worker	alcohol dependence
247721000000109	405461000000114	Alcohol abuse monitoring	alcohol dependence
69482004	476361000006114	Alcohol amnestic syndrome	alcohol dependence
73097000	294664016	Alcohol amnestic syndrome NOS	alcohol dependence
413473000	2532939017	Alcohol consumption counselling	alcohol dependence
527961000000108	2534258017	Alcohol counselling by other agencies	alcohol dependence
66590003	500478011	Alcohol dependence syndrome	alcohol dependence
66590003	295144019	Alcohol dependence syndrome NOS	alcohol dependence
191802004	295126010	Alcohol dependence with acute alcoholic intoxication	alcohol dependence
64297001	106878015	Alcohol detoxification	alcohol dependence
413130000	2474678017	Alcohol disorder monitoring	alcohol dependence
720175009	2475831000000114	Alcohol harm reduction programme	alcohol dependence
417633001	2549849017	Alcohol induced hallucinations	alcohol dependence
15167005	606991000000117	Alcohol misuse	alcohol dependence
166471000000105	226571000000116	Alcohol misuse - enhanced service completed	alcohol dependence
166251000000100	236441000000113	Alcohol misuse - enhanced services administration	alcohol dependence
7200002	502017010	Alcohol problem drinking	alcohol dependence
968891000000109	2467301000000111	Alcohol relapse prevention	alcohol dependence
8635005	15243013	Alcohol withdrawal delirium	alcohol dependence
191476005	294669014	Alcohol withdrawal hallucinosis	alcohol dependence
191480000	294674018	Alcohol withdrawal syndrome	alcohol dependence
235942001	353687012	Alcohol-induced acute pancreatitis	alcohol dependence
235952002	353698013	Alcohol-induced chronic pancreatitis	alcohol dependence
361268000	478024019	Alcohol-induced epilepsy	alcohol dependence
237738005	356292013	Alcohol-induced pseudo-Cushing's syndrome	alcohol dependence
83521008	138527014	Alcoholic cardiomyopathy	alcohol dependence
420054005	476611000006116	Alcoholic cirrhosis of liver	alcohol dependence
281004	346929012	Alcoholic dementia NOS	alcohol dependence
192811002	297011014	Alcoholic encephalopathy	alcohol dependence
50325005	83834016	Alcoholic fatty liver	alcohol dependence
235880004	353594015	Alcoholic fibrosis and sclerosis of liver	alcohol dependence
2043009	4525015	Alcoholic gastritis	alcohol dependence
235881000	353595019	Alcoholic hepatic failure	alcohol dependence
235875008	353587018	Alcoholic hepatitis	alcohol dependence
41309000	303399018	Alcoholic liver damage unspecified	alcohol dependence
19303008	476701000006114	Alcoholic myopathy	alcohol dependence
191478006	294672019	Alcoholic paranoia	alcohol dependence
7916009	14103017	Alcoholic polyneuropathy	alcohol dependence
42344001	476741000006111	Alcoholic psychoses	alcohol dependence
42344001	294676016	Alcoholic psychosis NOS	alcohol dependence
1099951000000107	251195015	Alcoholics anonymous	alcohol dependence
66590003	12878014	Alcoholism	alcohol dependence
183388004	283451018	Aversion therapy - alcoholism	alcohol dependence
228315001	342366014	Binge drinker	alcohol dependence
366371000000105	1680121000006110	Brief intervention for excessive alcohol consumptn completed	alcohol dependence
379411000000105	1704281000006117	Brief intervention for excessive alcohol consumptn declined	alcohol dependence
361272001	478046010	Cerebellar ataxia due to alcoholism	alcohol dependence
192811002	542611000006114	Cerebral degeneration due to alcoholism	alcohol dependence
191475009	294668018	Chronic alcoholic brain syndrome	alcohol dependence
307757001	451124014	Chronic alcoholic hepatitis	alcohol dependence
66590003	110629012	Chronic alcoholism	alcohol dependence
191813001	295142015	Chronic alcoholism in remission	alcohol dependence
66590003	295143013	Chronic alcoholism NOS	alcohol dependence
191804003	295129015	Continuous acute alcoholic intoxication in alcoholism	alcohol dependence
191811004	295139014	Continuous chronic alcoholism	alcohol dependence
801811000000100	1792751000000118	Cycle of change stage, alcohol	alcohol dependence
380861000000109	750531000000113	Declined referral to specialist alcohol treatment service	alcohol dependence
8635005	15244019	Delirium tremens	alcohol dependence
231161000000109	371501000000110	Delivery of rehabilitation for alcohol addiction	alcohol dependence
7200002	502016018	Dipsomania	alcohol dependence
191477001	294670010	Drunkenness - pathological	alcohol dependence
25702006	346931015	Drunkenness NOS	alcohol dependence
8635005	507053019	DTs - delirium tremens	alcohol dependence
963261000000108	1947501000006118	Emergency dept attendanc related to personl alcohl consumptn	alcohol dependence
191805002	295130013	Episodic acute alcoholic intoxication in alcoholism	alcohol dependence
191812006	295141010	Episodic chronic alcoholism	alcohol dependence
754831000000102	1754191000006119	Extended interven for excessive alcohol consumption declined	alcohol dependence
366421000000103	1680131000006113	Extended intervention for excessive alcohol consumptn complt	alcohol dependence
198431000000105	299081000000114	Harmful alcohol use	alcohol dependence
198421000000108	299061000000117	Hazardous alcohol use	alcohol dependence
86933000	144179014	Heavy drinker	alcohol dependence
921441000000103	2364891000000111	Hospital alcohol liaison team report received	alcohol dependence
25702006	346930019	Inebriety NOS	alcohol dependence
25702006	769451000006111	Intoxication - alcohol	alcohol dependence
69482004	753331000006118	Korsakov's alcoholic psychosis	alcohol dependence
191471000	294662017	Korsakov's alcoholic psychosis with peripheral neuritis	alcohol dependence
268645007	882531000006110	Non-dependent abuse of alcohol	alcohol dependence
268645007	401797010	Nondependent alcohol abuse	alcohol dependence
191884001	295254011	Nondependent alcohol abuse in remission	alcohol dependence
268645007	295255012	Nondependent alcohol abuse NOS	alcohol dependence
191882002	295252010	Nondependent alcohol abuse, continuous	alcohol dependence
191883007	295253017	Nondependent alcohol abuse, episodic	alcohol dependence
268645007	295251015	Nondependent alcohol abuse, unspecified	alcohol dependence
309783001	453265010	Oesophageal varices in alcoholic cirrhosis of the liver	alcohol dependence
281004	401760017	Other alcoholic dementia	alcohol dependence
42344001	294673012	Other alcoholic psychosis	alcohol dependence
42344001	294675017	Other alcoholic psychosis NOS	alcohol dependence
191477001	294671014	Pathological alcohol intoxication	alcohol dependence
933641000000103	1926131000006117	Refer to MH services deferred until alcohol misuse resolved	alcohol dependence
376401000000103	740641000000115	Referral to alcohol brief intervention service	alcohol dependence
390857005	1484890014	Referral to community alcohol team	alcohol dependence
781191000000101	1746481000000112	Referral to community alcohol team declined	alcohol dependence
417096006	2549646014	Referral to community drug and alcohol team	alcohol dependence
431260004	622961000000116	Referral to specialist alcohol treatment service	alcohol dependence
946101000000100	2419601000000110	Specialist alcohol treatment service signposted	alcohol dependence
135827004	216585018	Under care of community alcohol team	alcohol dependence
66590003	295136019	Unspecified chronic alcoholism	alcohol dependence
228279004	342322012	Very heavy drinker	alcohol dependence
69482004	501294012	Wernicke-Korsakov syndrome	alcohol dependence
6381009	291960011	[M] Alpha heavy chain disease	cancer
255102004	304071000006110	[M] Angioendotheliomatosis	cancer
6381009	291962015	[M] Gamma heavy chain disease	cancer
128929007	291963013	[M] Large cell lymphoma	cancer
12302002	291778013	[M] Small cell osteosarcoma	cancer
51217003	304251000006114	[M]Acidophil carcinoma	cancer
45410002	304271000006116	[M]Acinar cell carcinoma	cancer
16974005	1221446018	[M]Acral lentiginous melanoma, malignant	cancer
128812005	1220816015	[M]Acute progressive histiocytosis X	cancer
56763007	304471000006117	[M]Adamantinoma of long bones	cancer
88253001	304481000006119	[M]Adamantinoma, malignant	cancer
15176003	304491000006116	[M]Adenoacanthoma	cancer
86293007	1217037013	[M]Adenocarcinoid tumour	cancer
57513006	304521000006119	[M]Adenocarcinoma in adenomatous polposis coli	cancer
189598002	304531000006116	[M]Adenocarcinoma in adenomatous polyp	cancer
47299001	1230440012	[M]Adenocarcinoma in multiple adenomatous polyps	cancer
51642000	304551000006111	[M]Adenocarcinoma in situ	cancer
60286009	1232066010	[M]Adenocarcinoma in situ in adenomatous polyp	cancer
51617009	1231004013	[M]Adenocarcinoma in situ in tubulovillous adenoma	cancer
4935000	1230709016	[M]Adenocarcinoma in situ in villous adenoma	cancer
5658009	1231622010	[M]Adenocarcinoma in tubulovillous adenoma	cancer
36087009	291436015	[M]Adenocarcinoma in villous adenoma	cancer
35917007	291372011	[M]Adenocarcinoma NOS	cancer
22694002	304621000006115	[M]Adenocarcinoma with apocrine metaplasia	cancer
56484001	304631000006117	[M]Adenocarcinoma with cartilaginous and osseous metaplasia	cancer
68358000	304641000006110	[M]Adenocarcinoma with spindle cell metaplasia	cancer
15176003	304651000006112	[M]Adenocarcinoma with squamous metaplasia	cancer
25190001	304661000006114	[M]Adenocarcinoma, intestinal type	cancer
4590003	291374012	[M]Adenocarcinoma, metastatic, NOS	cancer
35917007	304681000006116	[M]Adenocarcinomas	cancer
11671000	304701000006118	[M]Adenoid cystic carcinoma	cancer
85956000	304711000006115	[M]Adenoid squamous cell carcinoma	cancer
31470003	304901000006115	[M]Adenosarcoma	cancer
31470003	1227518012	[M]Adenosarcoma	cancer
59367005	304921000006113	[M]Adenosquamous carcinoma	cancer
2227007	305011000006117	[M]Adrenal cortical carcinoma	cancer
76060004	305081000006112	[M]Aesthesioneuroblastoma	cancer
66515009	305171000006110	[M]Alpha-cell tumour,malignant	cancer
36310008	305181000006113	[M]Alveolar adenocarcinoma	cancer
112677002	305201000006114	[M]Alveolar cell carcinoma	cancer
63449009	305211000006112	[M]Alveolar rhabdomyosarcoma	cancer
88195001	1235321016	[M]Alveolar soft part sarcoma	cancer
70594002	305231000006118	[M]Amelanotic melanoma	cancer
27092008	305261000006110	[M]Ameloblastic fibrosarcoma	cancer
20380000	305271000006115	[M]Ameloblastic odontosarcoma	cancer
88253001	305291000006119	[M]Ameloblastoma, malignant	cancer
28953002	305531000006115	[M]Angiomyosarcoma	cancer
39000009	305551000006110	[M]Angiosarcoma	cancer
57141000	305571000006117	[M]Apocrine adenocarcinoma	cancer
48952003	305671000006118	[M]Astroblastoma	cancer
38713004	305681000006115	[M]Astrocytic glioma	cancer
38713004	1229453012	[M]Astrocytoma NOS	cancer
55353007	305701000006117	[M]Astrocytoma, anaplastic type	cancer
39274007	305741000006115	[M]Balloon cell melanoma	cancer
34603009	1228188010	[M]Basal cell adenocarcinoma	cancer
