icd	description	term_main
B16	Acute hepatitis B	Liver disease
B16.0	Acute hepatitis B with delta-agent (coinfection) with hepatic coma	Liver disease
B16.1	Acute hepatitis B with delta-agent (coinfection) without hepatic coma	Liver disease
B16.2	Acute hepatitis B without delta-agent with hepatic coma	Liver disease
B16.9	Acute hepatitis B without delta-agent and without hepatic coma	Liver disease
B17	Other acute viral hepatitis	Liver disease
B17.0	Acute delta-(super) infection of hepatitis B carrier	Liver disease
B17.1	Acute hepatitis C	Liver disease
B17.2	Acute hepatitis E	Liver disease
B17.8	Other specified acute viral hepatitis	Liver disease
B17.9	Acute viral hepatitis, unspecified	Liver disease
B18.0	Chronic viral hepatitis B with delta-agent	Liver disease
B18.1	Chronic viral hepatitis B without delta-agent	Liver disease
B18.2	Chronic viral hepatitis C	Liver disease
B18.8	Other chronic viral hepatitis	Liver disease
B18.9	Chronic viral hepatitis, unspecified	Liver disease
B19.0	Unspecified viral hepatitis with hepatic coma	Liver disease
B19.9	Unspecified viral hepatitis without hepatic coma	Liver disease
C00	Malignant neoplasm of lip	cancer
C00.0	Malignant neoplasm: External upper lip	cancer
C00.1	Malignant neoplasm: External lower lip	cancer
C00.2	Malignant neoplasm: External lip, unspecified	cancer
C00.3	Malignant neoplasm: Upper lip, inner aspect	cancer
C00.4	Malignant neoplasm: Lower lip, inner aspect	cancer
C00.5	Malignant neoplasm: Lip, unspecified, inner aspect	cancer
C00.6	Malignant neoplasm: Commissure of lip	cancer
C00.8	Malignant neoplasm: Overlapping lesion of lip	cancer
C00.9	Malignant neoplasm: Lip, unspecified	cancer
C01	Malignant neoplasm of base of tongue	cancer
C02	Malignant neoplasm of other and unspecified parts of tongue	cancer
C02.0	Malignant neoplasm: Dorsal surface of tongue	cancer
C02.1	Malignant neoplasm: Border of tongue	cancer
C02.2	Malignant neoplasm: Ventral surface of tongue	cancer
C02.3	Malignant neoplasm: Anterior two-thirds of tongue, part unspecified	cancer
C02.4	Malignant neoplasm: Lingual tonsil	cancer
C02.8	Malignant neoplasm: Overlapping lesion of tongue	cancer
C02.9	Malignant neoplasm: Tongue, unspecified	cancer
C03	Malignant neoplasm of gum	cancer
C03.0	Malignant neoplasm: Upper gum	cancer
C03.1	Malignant neoplasm: Lower gum	cancer
C03.9	Malignant neoplasm: Gum, unspecified	cancer
C04	Malignant neoplasm of floor of mouth	cancer
C04.0	Malignant neoplasm: Anterior floor of mouth	cancer
C04.1	Malignant neoplasm: Lateral floor of mouth	cancer
C04.8	Malignant neoplasm: Overlapping lesion of floor of mouth	cancer
C04.9	Malignant neoplasm: Floor of mouth, unspecified	cancer
C05	Malignant neoplasm of palate	cancer
C05.0	Malignant neoplasm: Hard palate	cancer
C05.1	Malignant neoplasm: Soft palate	cancer
C05.2	Malignant neoplasm: Uvula	cancer
C05.8	Malignant neoplasm: Overlapping lesion of palate	cancer
C05.9	Malignant neoplasm: Palate, unspecified	cancer
C06	Malignant neoplasm of other and unspecified parts of mouth	cancer
C06.0	Malignant neoplasm: Cheek mucosa	cancer
C06.1	Malignant neoplasm: Vestibule of mouth	cancer
C06.2	Malignant neoplasm: Retromolar area	cancer
C06.8	Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth	cancer
C06.9	Malignant neoplasm: Mouth, unspecified	cancer
C07	Malignant neoplasm of parotid gland	cancer
C08	Malignant neoplasm of other and unspecified major salivary glands	cancer
C08.0	Malignant neoplasm: Submandibular gland	cancer
C08.1	Malignant neoplasm: Sublingual gland	cancer
C08.8	Malignant neoplasm: Overlapping lesion of major salivary glands	cancer
C08.9	Malignant neoplasm: Major salivary gland, unspecified	cancer
C09	Malignant neoplasm of tonsil	cancer
C09.0	Malignant neoplasm: Tonsillar fossa	cancer
C09.1	Malignant neoplasm: Tonsillar pillar (anterior)(posterior)	cancer
C09.8	Malignant neoplasm: Overlapping lesion of tonsil	cancer
C09.9	Malignant neoplasm: Tonsil, unspecified	cancer
C10	Malignant neoplasm of oropharynx	cancer
C10.0	Malignant neoplasm: Vallecula	cancer
C10.1	Malignant neoplasm: Anterior surface of epiglottis	cancer
C10.2	Malignant neoplasm: Lateral wall of oropharynx	cancer
C10.3	Malignant neoplasm: Posterior wall of oropharynx	cancer
C10.4	Malignant neoplasm: Branchial cleft	cancer
C10.8	Malignant neoplasm: Overlapping lesion of oropharynx	cancer
C10.9	Malignant neoplasm: Oropharynx, unspecified	cancer
C11	Malignant neoplasm of nasopharynx	cancer
C11.0	Malignant neoplasm: Superior wall of nasopharynx	cancer
C11.1	Malignant neoplasm: Posterior wall of nasopharynx	cancer
C11.2	Malignant neoplasm: Lateral wall of nasopharynx	cancer
C11.3	Malignant neoplasm: Anterior wall of nasopharynx	cancer
C11.8	Malignant neoplasm: Overlapping lesion of nasopharynx	cancer
