prodcodeid	productname
5997541000033113	perindopril oral solution 8 mg/5 ml
258341000033113	cilazapril tablets 250 micrograms
524241000033115	enalapril maleate wafers 5 mg
524141000033110	enalapril maleate wafers 20 mg
524341000033113	enalapril maleate wafers 10 mg
210541000033113	captopril tablets 1 mg
210741000033117	captopril tablets 2 mg
523941000033114	enalapril maleate wafers 10 mg
524541000033118	enalapril maleate wafers 20 mg
524641000033117	enalapril maleate wafers 5 mg
2724541000033115	ramipril titration pack 7 x 2.5 mg, 21 x 5 mg, 7 x 10 mg
3890041000033117	ramipril powder for oral suspension with diluent (kit) 10 mg/5 ml
5595341000033117	captopril oral suspension sugar free 2 mg/ml
5888241000033116	perindopril oral suspension 4 mg/5 ml
523741000033111	enalapril maleate titration pack
524041000033111	enalapril maleate wafers 2.5 mg
524441000033119	enalapril maleate wafers 2.5 mg
4153041000033114	perindopril oral suspension 8 mg/5 ml
3163341000033119	felodipine 2.5mg modified-release / ramipril 2.5mg tablets
8264941000033119	triapin 2.5mg/2.5mg modified-release tablets
1834341000033110	triapin 5mg/5mg modified-release tablets
3163241000033112	felodipine 5mg modified-release / ramipril 5mg tablets
209241000033119	capozide ls 12.5mg/25mg tablets
1893141000033119	co-zidocapt 12.5mg/25mg tablets
1893241000033114	co-zidocapt 25mg/50mg tablets
13141000033119	acezide 25mg/50mg tablets
216441000033110	capozide 25mg/50mg tablets
214141000033113	capoten 12.5mg tablets
2945841000033112	ecopace 12.5mg tablets
10841000033119	acepril 12.5mg tablets
2928341000033114	tensopril 12.5mg tablets
1622041000033110	kaplon 12.5mg tablets
213441000033119	captopril 12.5mg tablets
214441000033117	captopril 25mg tablets
2945941000033116	ecopace 25mg tablets
10941000033110	acepril 25mg tablets
1622141000033114	kaplon 25mg tablets
2928441000033115	tensopril 25mg tablets
214241000033118	capoten 25mg tablets
214341000033111	capoten 50mg tablets
1622241000033119	kaplon 50mg tablets
11041000033117	acepril 50mg tablets
2946041000033114	ecopace 50mg tablets
2928541000033119	tensopril 50mg tablets
214541000033116	captopril 50mg tablets
3162241000033117	enalapril 20mg / hydrochlorothiazide 12.5mg tablets
770141000033115	innozide 20mg/12.5mg tablets
1918641000033112	pralenal 2.5 tablets
769141000033117	innovace 2.5mg tablets
523541000033115	enalapril 2.5mg tablets
522841000033111	enalapril 5mg tablets
